claim_id,field_name,field_value,unit,time_reference,verdict,reason,matched_table,matched_table_id
0e392a2e-14db-47c3-ad2a-f962fec96023,삼성전자 시가총액,,조원,,판단불가,"처리 중 오류: expected string or bytes-like object, got 'NoneType'",,
4f67c278-30ab-4f8b-b08c-764c3a1319a5,삼성전자 주가 변동률 및 시가총액,2.15,%,이날,일치,KOSIS 2% vs 뉴스 2% (오차 7.0%),코스닥 시가총액별 상장회사분포,DT_343_2010_S0083
8f014cbd-b03b-4046-8e21-72d5bb81d312,코스피 시가총액 비율,15.2,%,이날 종가 기준,판단불가,테이블 관련성 없음 — 스킵,코스닥 시가총액별 상장회사분포,DT_343_2010_S0083
73654160-0aa5-41c2-82c5-490657639afd,시가총액 순위 차이,2.0,,,판단불가,"처리 중 오류: expected string or bytes-like object, got 'NoneType'",,
4b23c24e-dccc-4ee3-b88f-a59422da1381,주가 변동률,6.42,%,이날,판단불가,모든 후보 테이블(5건)에서 데이터를 찾지 못했습니다.,,
861708fd-a27f-49c6-9d66-88f89d1b52f2,코스피 내 삼성전자 비중,17.4,%,올해 1월 2일 및 그 이후 6개월,판단불가,모든 후보 테이블(5건)에서 데이터를 찾지 못했습니다.,,
6d760876-b871-4d33-a780-3c95f198e789,청년 무직자 수,220000.0,명,20년 전,일치,"KOSIS 210,900명 vs 뉴스 220,000명 (오차 4.1%)",연령별 경제활동상태,DT_1DE9046S
d0fd4ef9-0610-4fa5-8b96-bf86c7d95d4a,SK하이닉스 시총,195123000000000.0,조원,종가 기준,판단불가,모든 후보 테이블(8건)에서 데이터를 찾지 못했습니다.,,
bd0d44db-e6b0-48b5-aeae-c6564b9e3d64,청년 '쉬었음' 인구 증가 및 첫 취업 소요 시간,0.0,,현재 시점 또는 최근 몇 년간,판단불가,처리 중 오류: 'NoneType' object has no attribute 'lower',,
574b8566-634e-4ec5-bb31-3b8fc8e22809,청년 인구 변화,0.0,,2023년 이후 3년 연속,판단불가,처리 중 오류: 'NoneType' object has no attribute 'lower',,
08b3844e-cb0d-4667-9edd-30350f10f9de,취업자 수,153000.0,명,2023,불일치,"KOSIS 77,500명 vs 뉴스 153,000명 (오차 49.3%)",성/직업별 취업자,DT_1DA7E27S_NEW
27a7723b-c36e-42f5-975f-e31906823b13,청년 '쉬었음' 비율 및 첫 취업 소요 시간,0.0,,2026년,판단불가,처리 중 오류: 'NoneType' object has no attribute 'lower',,
c520170e-4775-4292-bb28-5e99b7718e6f,청년 인구 변화,0.0,,2023년 이후 3년 연속,판단불가,처리 중 오류: 'NoneType' object has no attribute 'lower',,
3b790c90-f7cf-45a2-a815-1eb6b1912185,취업자 수,153000.0,명,2023,불일치,"KOSIS 77,500명 vs 뉴스 153,000명 (오차 49.3%)",성/직업별 취업자,DT_1DA7E27S_NEW
f910e730-3887-41cd-8078-a853415fbb4a,청년 '쉬었음' 인구 증가 및 첫 취업 소요 시간,0.0,,,판단불가,"처리 중 오류: expected string or bytes-like object, got 'NoneType'",,
cd4bf0fd-26f3-437e-b3b0-9375a562e23a,연평균기온,14.8,도,작년,일치,KOSIS 15도 vs 뉴스 15도 (오차 0.0%),기상개황(2001~2007),TX_11001_A017
660c51a8-16bb-49b2-a509-0c73bb3635cb,쉬었음 인구 비율,0.0,%,2024년,판단불가,오차 150.0% — 테이블 매칭 오류 의심,성/연령별 실업률,DT_1DA7102S
9d7910f6-d6a5-440c-86ce-bc40991788d6,연평균 기온,14.0,도,2024년,일치,KOSIS 14도 vs 뉴스 14도 (오차 0.0%),[고층기상] 레윈존데 관측값의 지점별 연·월 통계,DT_14106
516b9cbf-8239-4218-a0b5-57d106f49a5d,평균기온,14.8,도,작년,일치,KOSIS 15도 vs 뉴스 15도 (오차 0.0%),기상개황(2008),DT_A11001_2009_0203
